<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
LKOH;D;20200803;000000;5037.0000000;826984
LKOH;D;20200804;000000;5038.5000000;780821
LKOH;D;20200805;000000;5136.0000000;1198674
LKOH;D;20200806;000000;5130.0000000;880905
LKOH;D;20200807;000000;5088.0000000;555122
LKOH;D;20200810;000000;5112.0000000;649192
LKOH;D;20200811;000000;5170.0000000;1301940
LKOH;D;20200812;000000;5303.0000000;1084694
LKOH;D;20200813;000000;5312.0000000;1020623
LKOH;D;20200814;000000;5284.5000000;715918
LKOH;D;20200817;000000;5281.5000000;677375
LKOH;D;20200818;000000;5268.5000000;706037
LKOH;D;20200819;000000;5246.5000000;629584
LKOH;D;20200820;000000;5137.5000000;1219776
LKOH;D;20200821;000000;5092.5000000;1040043
LKOH;D;20200824;000000;5186.0000000;880068
LKOH;D;20200825;000000;5220.0000000;971273
LKOH;D;20200826;000000;5278.0000000;795039
LKOH;D;20200827;000000;5174.0000000;1030110
LKOH;D;20200828;000000;5082.0000000;776902
LKOH;D;20200831;000000;4991.0000000;1416679
LKOH;D;20200901;000000;4949.0000000;1286553
LKOH;D;20200902;000000;4852.0000000;1545721
LKOH;D;20200903;000000;4814.0000000;1513466
LKOH;D;20200904;000000;4858.0000000;963821
LKOH;D;20200907;000000;4795.0000000;646340
LKOH;D;20200908;000000;4719.5000000;1301443
LKOH;D;20200909;000000;4709.0000000;1081515
LKOH;D;20200910;000000;4661.0000000;1072340
LKOH;D;20200911;000000;4725.5000000;822325
LKOH;D;20200914;000000;4752.5000000;945651
LKOH;D;20200915;000000;4876.0000000;1498917
LKOH;D;20200916;000000;4863.5000000;1351352
LKOH;D;20200917;000000;4793.5000000;1535383
LKOH;D;20200918;000000;4677.0000000;2914282
LKOH;D;20200921;000000;4511.0000000;2314250
LKOH;D;20200922;000000;4529.0000000;1448653
LKOH;D;20200923;000000;4456.0000000;1339302
LKOH;D;20200924;000000;4563.0000000;1619164
LKOH;D;20200925;000000;4560.0000000;1163134
LKOH;D;20200928;000000;4627.0000000;1051405
LKOH;D;20200929;000000;4508.5000000;1595944
LKOH;D;20200930;000000;4470.0000000;1017690
LKOH;D;20201001;000000;4408.5000000;1024102
LKOH;D;20201002;000000;4379.0000000;1216751
LKOH;D;20201005;000000;4479.0000000;1227120
LKOH;D;20201006;000000;4519.5000000;1155256
LKOH;D;20201007;000000;4474.0000000;1167347
LKOH;D;20201008;000000;4498.0000000;948365
LKOH;D;20201009;000000;4451.5000000;853029
LKOH;D;20201012;000000;4445.0000000;611022
LKOH;D;20201013;000000;4374.5000000;798410
LKOH;D;20201014;000000;4364.5000000;931848
LKOH;D;20201015;000000;4271.0000000;1447465
LKOH;D;20201016;000000;4253.0000000;1483214
LKOH;D;20201019;000000;4194.0000000;824034
LKOH;D;20201020;000000;4270.0000000;950098
LKOH;D;20201021;000000;4211.5000000;871652
LKOH;D;20201022;000000;4307.5000000;1083696
LKOH;D;20201023;000000;4325.0000000;1003020
LKOH;D;20201026;000000;4223.0000000;882310
LKOH;D;20201027;000000;4123.5000000;1237053
LKOH;D;20201028;000000;4012.5000000;2006801
LKOH;D;20201029;000000;4057.5000000;1375645
LKOH;D;20201030;000000;4050.0000000;1225740
LKOH;D;20201102;000000;4162.0000000;1696450
LKOH;D;20201103;000000;4252.0000000;1530752
LKOH;D;20201105;000000;4321.5000000;1394595
LKOH;D;20201106;000000;4396.0000000;1364853
LKOH;D;20201109;000000;4755.0000000;4566655
LKOH;D;20201110;000000;4884.5000000;3268426
LKOH;D;20201111;000000;4945.0000000;2663948
LKOH;D;20201112;000000;4853.0000000;1861773
LKOH;D;20201113;000000;4879.0000000;948327
LKOH;D;20201116;000000;4932.5000000;1400619
LKOH;D;20201117;000000;4864.0000000;1512090
LKOH;D;20201118;000000;4890.0000000;1367243
LKOH;D;20201119;000000;4916.0000000;1213071
LKOH;D;20201120;000000;4948.5000000;766614
LKOH;D;20201123;000000;5026.5000000;1803959
LKOH;D;20201124;000000;5179.5000000;2117841
LKOH;D;20201125;000000;5392.5000000;3139071
LKOH;D;20201126;000000;5243.0000000;1824651
LKOH;D;20201127;000000;5260.0000000;1649100
LKOH;D;20201130;000000;5063.0000000;3718388
LKOH;D;20201201;000000;5058.5000000;1507058
LKOH;D;20201202;000000;5167.0000000;1544503
LKOH;D;20201203;000000;5053.0000000;2012816
LKOH;D;20201204;000000;5122.0000000;1507715
LKOH;D;20201207;000000;5039.5000000;1184748
LKOH;D;20201208;000000;4994.0000000;1264179
LKOH;D;20201209;000000;5023.0000000;1546920
LKOH;D;20201210;000000;5287.0000000;2581306
LKOH;D;20201211;000000;5380.0000000;2277373
LKOH;D;20201214;000000;5325.0000000;2108840
LKOH;D;20201215;000000;5297.5000000;1486533
LKOH;D;20201216;000000;5174.0000000;2284255
LKOH;D;20201217;000000;5188.0000000;2013453
LKOH;D;20201218;000000;5140.0000000;2724592
LKOH;D;20201221;000000;5095.5000000;2452216
LKOH;D;20201222;000000;5073.0000000;1157972
LKOH;D;20201223;000000;5107.0000000;658533
LKOH;D;20201224;000000;5105.5000000;433719
LKOH;D;20201225;000000;5106.0000000;134682
LKOH;D;20201228;000000;5101.5000000;688066
LKOH;D;20201229;000000;5143.0000000;661110
LKOH;D;20201230;000000;5169.5000000;789928
LKOH;D;20210104;000000;5212.5000000;773026
LKOH;D;20210105;000000;5358.5000000;1178125
LKOH;D;20210106;000000;5376.5000000;1393471
LKOH;D;20210108;000000;5556.5000000;2062517
LKOH;D;20210111;000000;5599.0000000;2045942
LKOH;D;20210112;000000;5721.0000000;1746424
LKOH;D;20210113;000000;5755.0000000;2041824
LKOH;D;20210114;000000;5937.0000000;2105732
LKOH;D;20210115;000000;5888.5000000;1914626
LKOH;D;20210118;000000;5873.0000000;1306744
LKOH;D;20210119;000000;5892.0000000;1242959
LKOH;D;20210120;000000;5864.0000000;965966
LKOH;D;20210121;000000;5771.0000000;1831900
LKOH;D;20210122;000000;5740.5000000;1632508
LKOH;D;20210125;000000;5722.0000000;1320058
LKOH;D;20210126;000000;5595.5000000;1621675
LKOH;D;20210127;000000;5499.5000000;1731861
LKOH;D;20210128;000000;5575.0000000;1683337
LKOH;D;20210129;000000;5377.0000000;2020670
LKOH;D;20210201;000000;5406.0000000;2110804
LKOH;D;20210202;000000;5516.0000000;2448824
LKOH;D;20210203;000000;5555.0000000;1796746
LKOH;D;20210204;000000;5699.5000000;2269932
LKOH;D;20210205;000000;5715.0000000;1125316
LKOH;D;20210208;000000;5758.0000000;963438
LKOH;D;20210209;000000;5695.0000000;1049377
LKOH;D;20210210;000000;5594.5000000;1340726
LKOH;D;20210211;000000;5641.5000000;705902
LKOH;D;20210212;000000;5756.0000000;1264596
LKOH;D;20210215;000000;5909.5000000;1137579
LKOH;D;20210216;000000;5868.5000000;931974
LKOH;D;20210217;000000;5768.5000000;1282901
LKOH;D;20210218;000000;5615.0000000;1261967
LKOH;D;20210219;000000;5656.0000000;1241815
LKOH;D;20210220;000000;5633.0000000;122313
LKOH;D;20210222;000000;5786.0000000;1191686
LKOH;D;20210224;000000;5788.5000000;1136455
LKOH;D;20210225;000000;5740.5000000;1649316
LKOH;D;20210226;000000;5575.5000000;2505092
LKOH;D;20210301;000000;5634.0000000;1039122
LKOH;D;20210302;000000;5648.5000000;769865
LKOH;D;20210303;000000;5701.0000000;887997
LKOH;D;20210304;000000;5806.0000000;1943650
LKOH;D;20210305;000000;6236.0000000;3837382
LKOH;D;20210309;000000;6305.0000000;1974435
LKOH;D;20210310;000000;6127.5000000;1642730
LKOH;D;20210311;000000;6339.0000000;1523644
LKOH;D;20210312;000000;6356.0000000;947594
LKOH;D;20210315;000000;6472.5000000;1704229
LKOH;D;20210316;000000;6445.0000000;1909495
LKOH;D;20210317;000000;6363.0000000;1609679
LKOH;D;20210318;000000;6083.0000000;2134943
LKOH;D;20210319;000000;6078.0000000;2904138
LKOH;D;20210322;000000;6118.0000000;1217746
LKOH;D;20210323;000000;5961.0000000;1729905
LKOH;D;20210324;000000;6162.5000000;1525656
LKOH;D;20210325;000000;6182.0000000;1160792
LKOH;D;20210326;000000;6283.0000000;1195517
LKOH;D;20210329;000000;6257.5000000;817397
LKOH;D;20210330;000000;6155.0000000;944974
LKOH;D;20210331;000000;6111.5000000;833364
LKOH;D;20210401;000000;6112.0000000;1142711
LKOH;D;20210402;000000;6108.5000000;236045
LKOH;D;20210405;000000;5990.5000000;855330
LKOH;D;20210406;000000;5891.0000000;1171232
LKOH;D;20210407;000000;5978.0000000;1423877
LKOH;D;20210408;000000;6008.5000000;768280
LKOH;D;20210409;000000;5933.0000000;1148032
LKOH;D;20210412;000000;6020.0000000;1267547
LKOH;D;20210413;000000;6044.5000000;750478
LKOH;D;20210414;000000;6134.0000000;1340862
LKOH;D;20210415;000000;6054.5000000;1190659
LKOH;D;20210416;000000;6066.0000000;760492
LKOH;D;20210419;000000;6007.0000000;555404
LKOH;D;20210420;000000;5897.0000000;1449856
LKOH;D;20210421;000000;5946.0000000;850502
LKOH;D;20210422;000000;5999.0000000;1305445
LKOH;D;20210423;000000;5950.0000000;855562
LKOH;D;20210426;000000;5919.0000000;840943
LKOH;D;20210427;000000;5903.5000000;762862
LKOH;D;20210428;000000;5901.0000000;891359
LKOH;D;20210429;000000;5926.0000000;1022280
LKOH;D;20210430;000000;5805.0000000;1379006
LKOH;D;20210504;000000;5991.0000000;1373105
LKOH;D;20210505;000000;6122.0000000;1340797
LKOH;D;20210506;000000;6087.0000000;1015821
LKOH;D;20210507;000000;6088.0000000;726220
LKOH;D;20210510;000000;6118.0000000;1042800
LKOH;D;20210511;000000;6021.0000000;1245809
LKOH;D;20210512;000000;6119.0000000;1424252
LKOH;D;20210513;000000;6040.0000000;1173785
LKOH;D;20210514;000000;6050.0000000;505834
LKOH;D;20210517;000000;5976.0000000;1720346
LKOH;D;20210518;000000;5994.0000000;1804042
LKOH;D;20210519;000000;5862.5000000;1733021
LKOH;D;20210520;000000;5711.0000000;1350464
LKOH;D;20210521;000000;5800.5000000;1122864
LKOH;D;20210524;000000;5818.0000000;571607
LKOH;D;20210525;000000;5913.0000000;1085314
LKOH;D;20210526;000000;6016.5000000;1172616
LKOH;D;20210527;000000;5992.0000000;1612125
LKOH;D;20210528;000000;5955.0000000;733108
LKOH;D;20210531;000000;5993.0000000;392489
LKOH;D;20210601;000000;6210.0000000;2080801
LKOH;D;20210602;000000;6428.0000000;2238487
LKOH;D;20210603;000000;6474.5000000;1951973
LKOH;D;20210604;000000;6511.0000000;1522097
LKOH;D;20210607;000000;6555.0000000;918412
LKOH;D;20210608;000000;6504.5000000;1369216
LKOH;D;20210609;000000;6587.0000000;942484
LKOH;D;20210610;000000;6570.0000000;1088247
LKOH;D;20210611;000000;6518.5000000;577405
LKOH;D;20210614;000000;6515.0000000;580500
LKOH;D;20210615;000000;6504.5000000;827007
LKOH;D;20210616;000000;6591.5000000;1179384
LKOH;D;20210617;000000;6669.5000000;1678291
LKOH;D;20210618;000000;6653.0000000;1861951
LKOH;D;20210621;000000;6697.0000000;685596
LKOH;D;20210622;000000;6715.5000000;1070707
LKOH;D;20210623;000000;6633.0000000;1062120
LKOH;D;20210624;000000;6725.0000000;1483543
LKOH;D;20210625;000000;6810.0000000;876091
LKOH;D;20210628;000000;6759.0000000;804732
LKOH;D;20210629;000000;6685.0000000;1283942
LKOH;D;20210630;000000;6762.5000000;1143707
LKOH;D;20210701;000000;7010.0000000;1490298
LKOH;D;20210702;000000;6849.0000000;992753
LKOH;D;20210705;000000;6845.0000000;386882
LKOH;D;20210706;000000;6829.0000000;1542790
LKOH;D;20210707;000000;6782.0000000;934282
LKOH;D;20210708;000000;6684.0000000;1029273
LKOH;D;20210709;000000;6655.0000000;844030
LKOH;D;20210712;000000;6611.0000000;539778
LKOH;D;20210713;000000;6637.0000000;650013
LKOH;D;20210714;000000;6566.0000000;1139559
LKOH;D;20210715;000000;6430.5000000;973634
LKOH;D;20210716;000000;6362.0000000;781647
LKOH;D;20210719;000000;6228.0000000;926660
LKOH;D;20210720;000000;6307.5000000;1049649
LKOH;D;20210721;000000;6393.0000000;907800
LKOH;D;20210722;000000;6456.0000000;866384
LKOH;D;20210723;000000;6433.5000000;736662
LKOH;D;20210726;000000;6405.0000000;645400
LKOH;D;20210727;000000;6332.5000000;648049
LKOH;D;20210728;000000;6415.0000000;687330
LKOH;D;20210729;000000;6416.0000000;674738
LKOH;D;20210730;000000;6299.0000000;1129457
LKOH;D;20210802;000000;6308.0000000;893284
LKOH;D;20210803;000000;6297.0000000;999182
LKOH;D;20210804;000000;6235.0000000;754130
LKOH;D;20210805;000000;6312.0000000;577956
LKOH;D;20210806;000000;6236.0000000;727121
LKOH;D;20210809;000000;6290.0000000;787985
LKOH;D;20210810;000000;6423.5000000;995809
LKOH;D;20210811;000000;6450.0000000;917959
LKOH;D;20210812;000000;6504.5000000;620833
LKOH;D;20210813;000000;6429.5000000;572534
LKOH;D;20210816;000000;6495.5000000;621148
LKOH;D;20210817;000000;6567.5000000;1149179
LKOH;D;20210818;000000;6445.0000000;757040
LKOH;D;20210819;000000;6332.0000000;1232898
LKOH;D;20210820;000000;6339.5000000;559803
LKOH;D;20210823;000000;6475.5000000;750426
LKOH;D;20210824;000000;6488.0000000;633383
LKOH;D;20210825;000000;6431.0000000;406112
LKOH;D;20210826;000000;6343.5000000;610360
LKOH;D;20210827;000000;6429.5000000;769681
LKOH;D;20210830;000000;6439.0000000;504200
LKOH;D;20210831;000000;6283.5000000;2056787
LKOH;D;20210901;000000;6334.0000000;1106615
LKOH;D;20210902;000000;6350.5000000;1129608
LKOH;D;20210903;000000;6330.0000000;653587
LKOH;D;20210906;000000;6325.0000000;561034
LKOH;D;20210907;000000;6280.0000000;791670
LKOH;D;20210908;000000;6341.5000000;1079275
LKOH;D;20210909;000000;6269.5000000;827841
LKOH;D;20210910;000000;6300.0000000;747146
LKOH;D;20210913;000000;6420.5000000;805842
LKOH;D;20210914;000000;6570.0000000;1833094
LKOH;D;20210915;000000;6724.5000000;1489881
LKOH;D;20210916;000000;6664.0000000;1762500
LKOH;D;20210917;000000;6600.5000000;1332859
LKOH;D;20210920;000000;6551.0000000;868297
LKOH;D;20210921;000000;6605.0000000;917647
LKOH;D;20210922;000000;6702.0000000;667239
LKOH;D;20210923;000000;6801.0000000;966130
LKOH;D;20210924;000000;6825.0000000;824276
LKOH;D;20210927;000000;6986.0000000;1410591
LKOH;D;20210928;000000;6968.0000000;1472618
LKOH;D;20210929;000000;6992.0000000;1053957
LKOH;D;20210930;000000;6903.5000000;1427649
LKOH;D;20211001;000000;6987.5000000;697983
LKOH;D;20211004;000000;7134.5000000;1569230
LKOH;D;20211005;000000;7346.5000000;1667789
LKOH;D;20211006;000000;7096.0000000;1549495
LKOH;D;20211007;000000;7165.0000000;1282235
LKOH;D;20211008;000000;7220.0000000;922089
LKOH;D;20211011;000000;7264.0000000;733416
LKOH;D;20211012;000000;7306.0000000;817499
LKOH;D;20211013;000000;7252.0000000;1257240
LKOH;D;20211014;000000;7215.0000000;804831
LKOH;D;20211015;000000;7306.5000000;950893
LKOH;D;20211018;000000;7319.0000000;711222
LKOH;D;20211019;000000;7373.0000000;761030
LKOH;D;20211020;000000;7439.0000000;854248
LKOH;D;20211021;000000;7232.0000000;928028
LKOH;D;20211022;000000;7200.0000000;816459
LKOH;D;20211025;000000;7441.5000000;1354036
LKOH;D;20211026;000000;7440.5000000;1135248
LKOH;D;20211027;000000;7323.5000000;746235
LKOH;D;20211028;000000;7288.5000000;1383577
LKOH;D;20211029;000000;7272.5000000;1311428
LKOH;D;20211101;000000;7293.0000000;595014
LKOH;D;20211102;000000;7214.0000000;946259
LKOH;D;20211103;000000;7175.0000000;595102
LKOH;D;20211105;000000;7199.0000000;593006
LKOH;D;20211108;000000;7208.5000000;510146
LKOH;D;20211109;000000;7188.0000000;791353
LKOH;D;20211110;000000;7137.5000000;655388
LKOH;D;20211111;000000;7094.5000000;1090684
LKOH;D;20211112;000000;6878.0000000;1938588
LKOH;D;20211115;000000;6918.5000000;909015
LKOH;D;20211116;000000;6946.5000000;845349
LKOH;D;20211117;000000;6884.5000000;1144794
LKOH;D;20211118;000000;6840.0000000;814044
LKOH;D;20211119;000000;6709.0000000;1372684
LKOH;D;20211122;000000;6575.5000000;1753388
LKOH;D;20211123;000000;6829.5000000;1589774
LKOH;D;20211124;000000;6814.5000000;1372160
LKOH;D;20211125;000000;6661.5000000;1077516
LKOH;D;20211126;000000;6374.0000000;2172255
LKOH;D;20211129;000000;6616.0000000;1799724
LKOH;D;20211130;000000;6513.0000000;2727544
LKOH;D;20211201;000000;6576.5000000;1738308
LKOH;D;20211202;000000;6732.0000000;1462077
LKOH;D;20211203;000000;6639.5000000;842978
LKOH;D;20211206;000000;6650.0000000;1173615
LKOH;D;20211207;000000;6720.5000000;2165695
LKOH;D;20211208;000000;6574.5000000;2076192
LKOH;D;20211209;000000;6619.0000000;1226511
LKOH;D;20211210;000000;6619.5000000;675304
LKOH;D;20211213;000000;6376.0000000;1539741
LKOH;D;20211214;000000;6592.0000000;2086211
LKOH;D;20211215;000000;6595.0000000;1122102
LKOH;D;20211216;000000;6729.0000000;1752666
LKOH;D;20211217;000000;6670.0000000;2014417
LKOH;D;20211220;000000;6328.5000000;1720877
LKOH;D;20211221;000000;6348.5000000;1119339
LKOH;D;20211222;000000;6349.5000000;838708
LKOH;D;20211223;000000;6304.5000000;665390
LKOH;D;20211224;000000;6313.5000000;385809
LKOH;D;20211227;000000;6397.5000000;515565
LKOH;D;20211228;000000;6478.0000000;994519
LKOH;D;20211229;000000;6516.0000000;842305
LKOH;D;20211230;000000;6573.0000000;768281
